132.5,101.2,20.4,21.7,751,327,10.4
129.5,100,20.7,20.8,835,331,6.9
131,101.9,18.1,23.7,973,333,8.8
135.1,99.9,17.8,18.3,808,328,20.9
132.2,102.8,20.4,22.3,874,335,5.9
131.4,101,21.5,23.4,797,339,2.4
133.2,99.9,19.1,24.2,423,336,8.8
131.7,120.1,18.1,22.3,718,337,5.2
132.3,100.2,19.5,20.7,809,334,8.2
129.3,102,21.3,21.7,866,347,5.2
130,102.3,22.6,19.3,969,333,10
131.2,100.5,20.8,24.9,737,333,7
131,103.5,21.6,18.9,850,308,9.4
127.9,101.1,22.4,18.9,1185,342,7.3
130.2,101.8,20.3,21.4,1389,372,6.7
128.5,100,22.9,21.3,1040,332,10
127.6,101.6,20.2,21.5,1118,348,3.3
135.3,95,15.1,22.4,497,295,13.8
132,89.8,16.8,26,805,296,7.6
138.4,97.5,13.6,27.8,975,299,12.4
143.8,98,13.4,19.7,521,297,27
140.2,100.1,16,29.5,468,303,9.3
137.5,96.7,17.8,27.3,523,312,3.2
145.1,94.7,13.7,27.4,325,284,9.4
140.1,101,13.2,27.4,558,305,9.4
137.4,93.4,16.4,26.2,873,301,11.9
