Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P -O,(P-O)^2
68,133.4,96.3,13.3,27.8,542,329,6.6,1.202,1.2402,0.0382,0.00145924
69,105.8,59.5,5.8,21.5,27,311,1.5,4.145,3.9987,-0.1463,0.02140369
70,109.9,57.8,3.8,25,3,299,8.1,3.987,3.9138,-0.0732,0.00535824
71,104,54.6,6.2,28,26,317.8,2.1,4.123,3.8169,-0.3061,0.09369721
72,109.1,53,3.3,26.4,8,308,7.7,3.83,3.8497,0.019699999999999,0.00038809
73,101.3,55.9,7.1,25,34,318.9,1.9,3.81,3.7184,-0.0916,0.00839056
74,104.9,54.7,4.4,23.5,1,310,5.8,3.777,3.8516,0.0746,0.00556516
75,103.9,58.5,5.9,24.1,77,322.4,1.2,3.868,3.874,0.006000000000001,3.60000000000134E-05
76,109.1,56.9,3.9,22.4,0,312,7.4,3.923,3.9316,0.008600000000001,7.39600000000219E-05
77,105.4,61.3,5.9,25.6,87,312.4,1,4.121,3.9702,-0.150799999999999,0.02274064
78,111.2,60.1,3.2,27.7,0,299,5.7,3.889,3.8805,-0.0085,7.2250000000003E-05
79,107.5,60.6,4.3,15.3,131,317.3,1.2,3.552,3.6677,0.1157,0.01338649
80,113.3,60.7,3.4,27,19,311,6,3.615,3.6852,0.0702,0.00492804
81,110.5,55.8,4.5,24.8,105,321.8,0.9,3.947,3.9154,-0.0316,0.00099856
82,116.6,54.1,2.3,22.3,5,310,8.2,4.009,3.9498,-0.059200000000001,0.00350464
83,107.6,65.1,4.9,27,102,318.7,0.5,3.509,3.304,-0.205,0.042025
84,112.6,64.8,3.6,29.3,27,312,3.7,3.683,2.9942,-0.6888,0.47444544
85,108.4,62.7,5.7,28.6,55,317.4,0.6,3.999,3.8504,-0.1486,0.02208196
86,113.9,60.5,3.7,29.1,12,315,0.7,3.893,3.8376,-0.055399999999999,0.00306916
87,108.4,61.2,4.8,28.9,65,327.7,1.2,3.719,3.5061,-0.212899999999999,0.04532641
88,114.2,60.7,3.9,30,33,319,5.8,3.464,3.4636,-0.0004,1.6000000000032E-07
89,108,65.9,7.5,21,61,310.8,1,3.466,3.2471,-0.2189,0.04791721
90,112.2,64.6,7,15,4,305,6.8,4.095,3.5404,-0.5546,0.30758116
91,107,61.6,5.7,28.7,41,314.7,2,3.72,3.8668,0.146800000000001,0.02155024
92,111.3,59.7,3.2,30.4,0,306,8.1,3.882,3.8553,-0.026700000000001,0.00071289
93,105.9,65.6,6.7,23.1,79,282.1,2.4,4.275,3.1008,-1.1742,1.37874564
94,111.8,66,4.1,25.9,6,262,10.7,4.022,3.258,-0.764,0.583696
95,103.5,59.3,6.2,23.5,35,330.5,1.7,3.323,3.4164,0.0934,0.00872356
96,108.7,59.2,3.5,25.5,0,325,3.7,3.521,3.5861,0.065100000000001,0.00423801
97,109.3,64.1,5.2,27.8,54,324.1,1.5,1.608,2.1998,0.591800000000001,0.350227240000001
98,113.8,63.7,4.4,30.6,11,321,7,2.326,2.581,0.255,0.065025
99,100.8,57.7,6.3,23.6,37,323.5,2,3.928,3.8497,-0.0783,0.00613089
100,104.6,56.6,5.6,22,0,321,7.4,4.046,3.7475,-0.2985,0.08910225
101,107.8,63.3,5.7,26.2,38,331.8,0.8,3.514,3.3243,-0.189700000000001,0.03598609
102,112.5,62.8,4.4,29.5,21,323,3.7,3.309,3.4495,0.1405,0.01974025
,,,,,,,,,,,
,,,,,,,,,,sum,14.042102435546
,,,,,,,,,,sum by observation,0.137667670936726
,,,,,,,,,,RMSE,0.371035942917564
