Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P -O,(P-O)^2
62,128.9,89.8,15.2,24.3,612,320,8,1.436,1.6654459,0.2294459,0.05264542102681
63,134.1,97,15.8,26,343,327.9,3.6,1.572,1.3580902,-0.2139098,0.04575740253604
64,137.2,96.8,14.4,29.8,533,322,9,1.558,1.4954606,-0.0625394,0.00391117655236
65,124.7,89.1,17.6,25.1,840,317.3,5.1,1E-08,1.3609418,1.36094179,1.8521625557684
66,127.4,86.8,15.3,24,773,304,11.6,1E-08,1.1262525,1.12625249,1.2684446712312
67,129.9,97,15.2,25.4,495,337,3,1.317,1.0397273,-0.2772727,0.07688015016529
68,133.4,96.3,13.3,27.8,542,329,6.6,1.202,1.2694222,0.0674222,0.00454575305284
69,105.8,59.5,5.8,21.5,27,311,1.5,4.145,3.662515,-0.482485,0.232791775225
70,109.9,57.8,3.8,25,3,299,8.1,3.987,3.685465,-0.301535,0.090923356225
71,104,54.6,6.2,28,26,317.8,2.1,4.123,3.674445,-0.448555,0.201201588025
72,109.1,53,3.3,26.4,8,308,7.7,3.83,3.676962,-0.153038,0.023420629444
73,101.3,55.9,7.1,25,34,318.9,1.9,3.81,3.706957,-0.103043,0.010617859849
74,104.9,54.7,4.4,23.5,1,310,5.8,3.777,3.6895664,-0.0874336,0.00764463440896
75,103.9,58.5,5.9,24.1,77,322.4,1.2,3.868,3.6952717,-0.1727283,0.02983506562089
76,109.1,56.9,3.9,22.4,0,312,7.4,3.923,3.7812603,-0.1417397,0.02009014255609
77,105.4,61.3,5.9,25.6,87,312.4,1,4.121,3.6043642,-0.5166358,0.26691254984164
78,111.2,60.1,3.2,27.7,0,299,5.7,3.889,3.7165482,-0.1724518,0.02973962332324
79,107.5,60.6,4.3,15.3,131,317.3,1.2,3.552,3.42791,-0.12409,0.0153983281
80,113.3,60.7,3.4,27,19,311,6,3.615,3.637947,0.022947,0.000526564809
81,110.5,55.8,4.5,24.8,105,321.8,0.9,3.947,3.659334,-0.287666,0.082751727556
82,116.6,54.1,2.3,22.3,5,310,8.2,4.009,3.804773,-0.204227,0.041708667529
83,107.6,65.1,4.9,27,102,318.7,0.5,3.509,3.6538186,0.1448186,0.02097242690596
84,112.6,64.8,3.6,29.3,27,312,3.7,3.683,3.6183019,-0.0646981,0.00418584414361
85,108.4,62.7,5.7,28.6,55,317.4,0.6,3.999,3.7130992,-0.2859008,0.08173926744064
86,113.9,60.5,3.7,29.1,12,315,0.7,3.893,3.6931818,-0.1998182,0.03992731305124
87,108.4,61.2,4.8,28.9,65,327.7,1.2,3.719,3.7911842,0.0721842,0.00521055872964
88,114.2,60.7,3.9,30,33,319,5.8,3.464,3.6513202,0.1873202,0.03508885732804
89,108,65.9,7.5,21,61,310.8,1,3.466,3.679467,0.213467,0.045568160089
90,112.2,64.6,7,15,4,305,6.8,4.095,3.722704,-0.372296,0.138604311616
91,107,61.6,5.7,28.7,41,314.7,2,3.72,3.6578856,-0.0621144,0.00385819868736
92,111.3,59.7,3.2,30.4,0,306,8.1,3.882,3.7945487,-0.0874513,0.00764772987169
93,105.9,65.6,6.7,23.1,79,282.1,2.4,4.275,3.3031538,-0.9718462,0.944485036454441
94,111.8,66,4.1,25.9,6,262,10.7,4.022,3.4352605,-0.5867395,0.34426324086025
95,103.5,59.3,6.2,23.5,35,330.5,1.7,3.323,3.8429728,0.5199728,0.27037171273984
96,108.7,59.2,3.5,25.5,0,325,3.7,3.521,3.8394527,0.3184527,0.10141212213729
97,109.3,64.1,5.2,27.8,54,324.1,1.5,1.608,3.7775023,2.1695023,4.70674022970529
98,113.8,63.7,4.4,30.6,11,321,7,2.326,3.8169224,1.4909224,2.22284960282176
99,100.8,57.7,6.3,23.6,37,323.5,2,3.928,3.7511766,-0.1768234,0.03126651478756
100,104.6,56.6,5.6,22,0,321,7.4,4.046,3.7884653,-0.2575347,0.06632412170409
101,107.8,63.3,5.7,26.2,38,331.8,0.8,3.514,3.8901765,0.3761765,0.14150875915225
102,112.5,62.8,4.4,29.5,21,323,3.7,3.309,3.7013783,0.3923783,0.15396073031089
,,,,,,,,,,,
,,,,,,,,,,sum,22.0730236318174
,,,,,,,,,,sum by observation,0.216402192468798
,,,,,,,,,,RMSE,0.465190490518453
